구분,y2016,y2017,y2018,y2019,y2020,y2021
종로구,1066,1225,1322,1338,1526,1573
중구,565,838,1174,1234,1482,1911
용산구,1689,1831,1888,1986,2131,2321
성동구,1328,2103,2390,2697,3162,3519
광진구,657,1112,1586,2233,2375,3111
동대문구,1425,1535,1775,1969,2142,2471
중랑구,898,1047,1203,2250,3165,3592
성북구,1534,1940,2542,2895,3081,3815
강북구,840,841,1159,1656,2337,2960
도봉구,443,542,679,835,979,1684
노원구,1268,1433,1577,1763,2021,2171
은평구,2075,2310,2669,3164,3431,3822
서대문구,1179,1525,1764,2100,2499,2591
마포구,970,1328,1703,2011,2268,2372
양천구,2026,2367,2655,2928,3136,3393
강서구,960,1164,1386,1858,2346,2637
구로구,1719,2231,2819,3074,3455,3842
금천구,1090,1181,1563,1894,2247,2276
영등포구,1140,1429,2055,2093,3250,3508
동작구,1200,1471,1690,1904,2155,2181
관악구,2048,2611,3247,3800,4071,3390
서초구,1785,2169,2582,2938,3175,3442
강남구,3447,4232,4834,5459,5796,6143
송파구,798,913,1364,2052,2372,2520
강동구,863,1134,1596,1871,2475,2720
